dist_to_nearest_tss,in_gene_body,dist_to_nearest_cancer_tss,gene_length,in_repeat,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,n_samples_detected,growth_rate,abundance_fold_change,label
37899.0,0.0,1917678.0,8052.0,1.0,1.0,0.0,0.88,6.0,2.0,2.0,0.0,0.0,300.0,0.0,1.0,0.0,0.0,3.1354942159291497
3221.0,1.0,1883000.0,8052.0,0.0,1.0,0.0,0.88,6.0,2.0,2.0,0.0,0.0,300.0,0.0,1.0,0.0,0.0,2.302585092994046
134220.0,1.0,1634198.0,138749.0,0.0,2.0,0.0,0.7,22.0,1.0,4.0,2.0,0.0,165.0,0.0,1.0,0.0,0.0,3.828641396489095
114730.0,1.0,1614708.0,138749.0,1.0,2.0,0.0,0.7,22.0,1.0,4.0,2.0,0.0,165.0,0.0,1.0,0.0,0.0,2.19722457733622
14985.0,1.0,1514963.0,138749.0,1.0,2.0,0.0,0.7,22.0,1.0,4.0,2.0,0.0,165.0,0.0,1.0,0.0,0.0,2.70805020110221
9033.0,1.0,1287617.0,108267.0,0.0,1.0,0.0,1.06,79.0,1.0,60.0,6.0,0.0,92.0,0.0,1.0,0.0,0.0,3.6375861597263857
7768.0,1.0,1286352.0,108267.0,1.0,1.0,0.0,1.06,79.0,1.0,60.0,6.0,0.0,92.0,0.0,1.0,0.0,0.0,2.3978952727983707
7493.0,1.0,1286077.0,108267.0,1.0,1.0,0.0,1.06,79.0,1.0,60.0,6.0,0.0,92.0,0.0,1.0,0.0,0.0,3.258096538021482
13965.0,1.0,1210653.0,41433.0,1.0,1.0,0.0,0.79,27.0,1.0,23.0,1.0,0.0,35.0,0.0,1.0,0.0,0.0,2.19722457733622
45390.0,1.0,1057536.0,133152.0,0.0,1.0,0.0,0.84,87.0,2.0,69.0,2.0,0.0,274.0,0.0,1.0,0.0,0.0,3.367295829986474
50426.0,1.0,1052500.0,133152.0,0.0,1.0,0.0,0.84,87.0,2.0,69.0,2.0,0.0,274.0,0.0,1.0,0.0,0.0,6.672032945461067
92308.0,1.0,1010618.0,133152.0,0.0,1.0,0.0,0.84,87.0,2.0,69.0,2.0,0.0,274.0,0.0,1.0,0.0,0.0,2.833213344056216
96894.0,1.0,996882.0,23363.0,0.0,2.0,0.0,0.89,34.0,1.0,24.0,1.0,0.0,213.0,0.0,1.0,0.0,0.0,3.5263605246161616
71025.0,1.0,971013.0,23363.0,0.0,2.0,0.0,0.89,34.0,1.0,24.0,1.0,0.0,213.0,0.0,1.0,0.0,0.0,3.5263605246161616
55522.0,0.0,955510.0,23363.0,1.0,2.0,0.0,0.89,34.0,1.0,24.0,1.0,0.0,213.0,0.0,1.0,0.0,0.0,3.610917912644224
32174.0,0.0,932162.0,23363.0,1.0,2.0,0.0,0.89,34.0,1.0,24.0,1.0,0.0,213.0,0.0,1.0,0.0,0.0,3.555348061489413
19160.0,1.0,919148.0,23363.0,0.0,2.0,0.0,0.89,34.0,1.0,24.0,1.0,0.0,213.0,0.0,1.0,0.0,0.0,2.5649493574615367
7373.0,0.0,892615.0,23363.0,1.0,2.0,0.0,0.89,34.0,1.0,24.0,1.0,0.0,213.0,0.0,1.0,0.0,0.0,2.302585092994046
11917.0,0.0,880540.0,5517.0,0.0,1.0,0.0,0.89,10.0,2.0,8.0,0.0,0.0,559.0,0.0,3.0,0.115473441108545,0.6190392084062235,2.8903717578961645
17373.0,0.0,851250.0,5517.0,0.0,1.0,0.0,0.89,10.0,2.0,8.0,0.0,0.0,559.0,0.0,1.0,0.0,0.0,3.951243718581428
18999.0,0.0,849624.0,5517.0,1.0,1.0,0.0,0.89,10.0,2.0,8.0,0.0,0.0,559.0,0.0,1.0,0.0,0.0,3.912023005428146
15297.0,0.0,844450.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,2.0,0.3849114703618165,0.3746934494414105,2.772588722239781
10037.0,1.0,839190.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,4.442651256490317
22186.0,0.0,806967.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,2.772588722239781
23964.0,0.0,805189.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.295836866004329
24167.0,0.0,804986.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,5.288267030694535
26300.0,0.0,802853.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,5.521460917862246
27501.0,0.0,801652.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,2.3978952727983707
35983.0,0.0,793170.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,3.0,0.5000000000000002,0.167054084663166,2.5649493574615367
38521.0,0.0,790632.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,2.0,5.999999999999996,0.306166887125884,4.51085950651685
38664.0,0.0,790489.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.218875824868201
38753.0,0.0,790400.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.610917912644224
38868.0,0.0,790285.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.091042453358316
39176.0,0.0,789977.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,4.844187086458591
39182.0,0.0,789971.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.091042453358316
39529.0,0.0,789624.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.951243718581428
39701.0,0.0,789452.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,2.772588722239781
39876.0,0.0,789277.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,2.0,7.246447267128531,0.6121781180262786,4.418840607796598
40126.0,0.0,789027.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,5.049856007249537
40825.0,0.0,788328.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.9889840465642745
41066.0,0.0,788087.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.332204510175204
41259.0,0.0,787894.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,4.0,-2.71727156214637,-0.9444616088408516,4.736198448394496
41473.0,0.0,787680.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,2.3978952727983707
41473.0,0.0,787680.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,5.123963979403259
41583.0,0.0,787570.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.951243718581428
41939.0,0.0,787214.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.332204510175204
42582.0,0.0,786571.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.688879454113936
42587.0,0.0,786566.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,2.8903717578961645
42669.0,0.0,786484.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,4.04305126783455
42731.0,0.0,786422.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.688879454113936
42995.0,0.0,786158.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.8501476017100575
43079.0,0.0,786074.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.610917912644224
43293.0,0.0,785860.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,4.418840607796598
44059.0,0.0,785094.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.367295829986474
44064.0,0.0,785089.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,2.079441541679836
44341.0,0.0,784812.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,2.19722457733622
44704.0,0.0,784449.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.1354942159291497
45268.0,0.0,783885.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,4.795790545596741
45807.0,0.0,783346.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,1.9459101490553128
46554.0,0.0,782599.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,4.430816798843313
46720.0,0.0,782433.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,4.0,0.0231530796008688,-0.0459851132418229,4.48863636973214
46835.0,0.0,782318.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,2.4849066497880004
47102.0,0.0,782051.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,4.276666119016055
47738.0,0.0,781415.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,2.079441541679836
47744.0,0.0,781409.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,4.060443010546419
47744.0,0.0,781409.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,2.8903717578961645
47854.0,0.0,781299.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,3.0,-0.2400468669674573,0.9903987040278768,4.465908118654584
48467.0,0.0,780686.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,2.302585092994046
49294.0,0.0,779859.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,4.465908118654584
49335.0,0.0,779818.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,5.030437921392435
49659.0,0.0,779494.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,4.61512051684126
50140.0,0.0,779013.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,2.302585092994046
50944.0,0.0,778209.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,5.153291594497779
51326.0,0.0,777827.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,4.204692619390966
52330.0,0.0,776823.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.4657359027997265
53496.0,0.0,775657.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.8501476017100575
54616.0,0.0,774537.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.7612001156935615
55566.0,0.0,773587.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,2.4849066497880004
56567.0,0.0,772586.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,2.995732273553991
58169.0,0.0,770984.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.091042453358316
61244.0,0.0,767909.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.7612001156935615
63745.0,0.0,765408.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.258096538021482
63838.0,0.0,765315.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,2.9444389791664403
68575.0,0.0,760578.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,2.3978952727983707
71445.0,0.0,757708.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,5.0,-1.7650940283734726,-1.2896675254308194,5.707110264748875
71914.0,0.0,757239.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.332204510175204
82422.0,0.0,746731.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,2.5649493574615367
85161.0,0.0,743992.0,10488.0,0.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,4.59511985013459
85692.0,0.0,743461.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.091042453358316
86112.0,0.0,743041.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,3.871201010907891
86344.0,0.0,742809.0,10488.0,1.0,1.0,0.0,0.84,12.0,4.0,7.0,0.0,0.0,333.0,0.0,1.0,0.0,0.0,4.59511985013459
