gene_id,gene_name,chrom,start,end,strand,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,tcell_h3k27ac_count,tcell_atac_count,replication_timing
ENSG00000177951,BET1L,chr11,167784,207399,-1,0,58,0,1,0,1.01,41,2,25,6,1,0,78.9013075
ENSG00000188076,SCGB1C1,chr11,193078,194575,1,0,32,0,0,12400,,1,0,0,0,0,0,81.019
ENSG00000177947,CIMAP1A,chr11,196761,200261,1,0,41,0,0,6714,,9,0,4,2,0,0,81.99912499999999
ENSG00000177963,RIC8A,chr11,207499,215113,1,0,62,0,1,0,1.01,16,5,11,0,1,0,84.083875
ENSG00000142082,SIRT3,chr11,215028,236931,-1,0,646,0,1,0,1.05,29,2,23,2,1,0,85.17662608695653
ENSG00000185627,PSMD13,chr11,236966,252986,1,0,109,0,1,0,1.05,15,2,12,0,1,0,85.38116470588234
ENSG00000174885,NLRP6,chr11,278407,285388,1,0,431,0,1,0,0.88,21,2,19,0,2,0,83.38316250000001
ENSG00000142102,PGGHG,chr11,289095,296107,1,0,26,0,2,0,0.83,24,2,21,0,0,0,82.5896125
ENSG00000206013,IFITM5,chr11,298200,299526,-1,0,330,0,1,0,0.68,4,0,4,0,0,0,82.12866666666667
ENSG00000185201,IFITM2,chr11,303655,309397,1,0,116,0,1,0,1.03,13,5,8,0,1,0,81.62208333333334
ENSG00000288681,,chr11,308408,315272,1,0,0,0,1,0,0.79,16,5,11,0,2,0,81.3056375
ENSG00000185885,IFITM1,chr11,310041,315273,1,0,375,0,1,0,0.79,12,4,8,0,2,0,81.24356666666667
ENSG00000142089,IFITM3,chr11,319675,329475,-1,0,275,0,0,623,,21,4,16,0,1,0,80.58796000000001
ENSG00000182272,B4GALNT4,chr11,369457,382117,1,0,49,0,3,0,1.0533,34,1,28,0,0,0,79.62534285714287
ENSG00000184363,PKP3,chr11,392614,404908,1,0,317,0,3,0,0.7733,29,1,16,2,0,0,79.87836923076922
ENSG00000185187,SIGIRR,chr11,405711,417473,-1,0,172,0,2,0,0.885,33,4,27,0,3,0,80.07135833333334
ENSG00000185101,ANO9,chr11,417921,442072,-1,0,48,0,3,0,1.09,53,2,23,3,1,0,80.38309199999999
ENSG00000174915,PTDSS2,chr11,448268,491399,1,0,225,0,9,0,0.8611,85,1,75,1,4,0,80.98543409090911
ENSG00000023191,RNH1,chr11,494510,507300,-1,0,150,0,4,0,0.845,38,3,35,0,1,0,81.28143076923077
ENSG00000174775,HRAS,chr11,532242,537343,-1,7,859,1,1,0,1.06,16,4,12,0,2,0,81.45078333333333
ENSG00000161328,LRRC56,chr11,536841,554925,1,0,48,0,3,0,1.0033,36,1,32,1,1,0,81.51357368421053
ENSG00000185522,LMNTD2,chr11,554850,560738,-1,0,36,0,2,0,0.945,17,6,10,0,1,0,81.5823142857143
ENSG00000099849,RASSF7,chr11,560207,564067,1,0,90,0,1,0,0.85,11,5,6,0,2,0,81.60564
ENSG00000070047,PHRF1,chr11,576170,612225,1,0,69,0,4,0,0.805,72,1,66,0,2,0,81.7859891891892
ENSG00000185507,IRF7,chr11,612551,615983,-1,0,502,0,1,0,0.78,11,2,9,0,3,0,81.90277499999999
ENSG00000099834,CDHR5,chr11,616405,626078,-1,0,82,0,3,0,0.7133,27,4,21,0,1,0,81.94333636363636
ENSG00000070031,SCT,chr11,626309,627181,-1,0,242,0,1,0,0.88,4,1,3,0,0,0,81.9788
ENSG00000069696,DRD4,chr11,637269,640706,1,0,270,0,1,0,1.01,10,1,9,0,0,0,82.06474
ENSG00000177030,DEAF1,chr11,644224,707118,-1,0,161,0,4,0,0.915,105,7,89,3,3,0,82.3473796875
ENSG00000177106,EPS8L2,chr11,694438,727729,1,0,85,0,5,0,0.914,71,8,61,1,3,0,82.67565142857141
ENSG00000177042,TMEM80,chr11,695591,705028,1,0,18,0,1,0,1.1,23,1,22,0,2,0,82.56090000000002
ENSG00000177156,TALDO1,chr11,747399,765035,1,0,301,0,2,0,0.825,23,2,20,0,1,0,83.23501052631579
ENSG00000177225,GATD1,chr11,767220,777488,-1,0,15,0,1,0,1.0,26,1,25,0,2,0,83.43114545454546
ENSG00000184524,CEND1,chr11,787115,790113,-1,0,61,0,1,0,0.94,9,1,8,0,0,0,83.605525
ENSG00000177542,SLC25A22,chr11,790474,798316,-1,0,172,0,2,0,0.83,22,4,18,0,2,0,83.65486666666666
ENSG00000288675,PANO1,chr11,797511,799190,1,0,33,0,1,0,0.92,6,3,3,0,1,0,83.69265
ENSG00000177595,PIDD1,chr11,799179,809753,-1,0,94,0,3,0,0.8233,27,4,22,0,2,0,83.73601666666666
ENSG00000177600,RPLP2,chr11,799414,812884,1,0,136,0,3,0,0.8233,34,5,28,0,2,0,83.74551999999998
ENSG00000293685,,chr11,803398,804419,-1,0,12,0,0,408,,3,1,2,0,1,0,83.7301
ENSG00000177666,PNPLA2,chr11,818914,825573,1,0,417,0,2,0,0.77,21,2,19,0,1,0,83.8296625
