gene_id,gene_name,chrom,start,end,strand,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,tcell_h3k27ac_count,tcell_atac_count,replication_timing
ENSG00000130538,OR11H1,chr22,15528192,15529139,1,0,16707,,0,0,0,0,0.0,7.0,0.0,0,0,0.0008745000000000001
ENSG00000198062,POTEH,chr22,15690026,15721631,1,0,378,,2,0,1,0,0.0,14.0,0.0,0,0,0.04921378787878788
ENSG00000198445,CCT8L2,chr22,16590751,16592810,-1,0,8236,,3,0,3,0,0.0,2.0,0.0,0,0,16.1564
ENSG00000172967,XKR3,chr22,16783412,16825411,-1,0,85497,,41,1,20,1,0.0,12.0,0.0,0,0,8.984426511627907
ENSG00000215568,GAB4,chr22,16961936,17008222,-1,1,0,0.63,21,2,8,0,0.0,6.0,0.0,0,0,38.41496170212766
ENSG00000177663,IL17RA,chr22,17084934,17115693,1,2,0,0.78,57,2,54,0,0.0,560.0,0.0,5,0,42.74425
ENSG00000183307,TMEM121B,chr22,17116297,17121367,-1,1,0,0.99,13,1,12,0,0.0,23.0,0.0,1,0,43.88521666666667
ENSG00000069998,HDHD5,chr22,17137510,17165287,-1,2,0,0.98,30,2,23,1,0.0,19.0,0.0,2,0,45.83276428571428
ENSG00000093072,ADA2,chr22,17178790,17258235,-1,0,6702,,83,5,66,0,0.0,394.0,0.0,4,0,47.42541
ENSG00000099954,CECR2,chr22,17359949,17558151,1,2,0,0.755,177,3,154,4,0.0,135.0,0.0,0,0,51.388028140703526
ENSG00000182902,SLC25A18,chr22,17563086,17591909,1,1,0,0.61,41,2,36,0,0.0,75.0,0.0,0,0,60.03728666666666
ENSG00000131100,ATP6V1E1,chr22,17592136,17630958,-1,1,0,0.78,35,3,30,0,0.0,89.0,0.0,1,0,62.04978
ENSG00000099968,BCL2L13,chr22,17628848,17730855,1,2,0,0.83,100,3,85,0,0.0,85.0,0.0,2,0,63.826092233009724
ENSG00000015475,BID,chr22,17734138,17774770,-1,2,0,0.9,59,5,45,0,0.0,314.0,0.0,3,0,64.36009761904761
ENSG00000243156,MICAL3,chr22,17787649,18024561,-1,4,0,0.7825,421,4,409,1,0.0,61.0,0.0,5,0,70.79938277310926
ENSG00000215193,PEX26,chr22,18077923,18105396,1,1,0,0.87,33,5,25,0,0.0,78.0,0.0,2,0,77.43480714285715
ENSG00000288683,,chr22,18077989,18131720,1,2,0,0.82,69,10,54,1,0.0,0.0,0.0,2,0,77.41632545454546
ENSG00000183785,TUBA8,chr22,18110100,18146683,1,1,0,0.77,44,4,32,1,0.0,72.0,0.0,0,0,77.42764736842105
ENSG00000184979,USP18,chr22,18148399,18177397,1,1,0,1.01,24,1,20,2,0.0,494.0,0.0,2,0,77.69301333333334
ENSG00000274252,GGTLC3,chr22,18516338,18518161,-1,0,9783,,0,0,0,0,0.0,1231.0,0.0,0,0,71.02123333333333
ENSG00000278558,TMEM191B,chr22,18527802,18530573,1,1,0,0.84,6,1,4,0,0.0,8.0,0.0,1,0,71.1148
ENSG00000275793,RIMBP3,chr22,18605815,18611919,-1,1,0,0.89,5,0,0,0,0.0,152.0,0.0,0,0,67.25854285714286
ENSG00000286175,FAM246B,chr22,18633984,18634682,1,1,0,1.02,0,0,0,0,0.0,0.0,0.0,0,0,64.173
ENSG00000183628,DGCR6,chr22,18905677,18914281,1,1,0,0.91,4,0,2,0,0.0,43.0,0.0,0,0,60.589277777777774
ENSG00000283809,,chr22,18906238,18947732,1,2,0,0.945,8,0,4,1,0.0,0.0,0.0,0,0,62.1525046511628
ENSG00000100033,PRODH,chr22,18912774,18936553,-1,1,0,0.98,2,0,0,1,0.0,233.0,0.0,0,0,61.939859999999996
ENSG00000286025,FAM246C,chr22,19029524,19031242,1,1,0,0.91,5,1,0,0,0.0,1.0,0.0,0,0,71.93765
ENSG00000070413,DGCR2,chr22,19036280,19122461,-1,1,0,0.87,158,2,130,2,0.0,89.0,0.0,2,0,73.75705172413795
ENSG00000100056,ESS2,chr22,19130279,19144684,-1,2,0,0.87,33,1,25,0,0.0,38.0,0.0,1,0,74.21651250000001
ENSG00000206203,TSSK2,chr22,19131308,19132622,1,1,0,0.73,4,0,3,0,0.0,127.0,0.0,0,0,74.25723333333333
ENSG00000063515,GSC2,chr22,19146993,19150292,-1,1,0,0.93,9,1,2,0,0.0,11.0,0.0,0,0,74.12445
ENSG00000100075,SLC25A1,chr22,19175575,19178788,-1,1,0,0.89,10,2,8,0,0.0,176.0,0.0,1,0,73.818125
ENSG00000070371,CLTCL1,chr22,19179320,19291774,-1,1,0,0.87,161,2,123,2,1.0,172.0,1.0,1,0,72.93336491228071
ENSG00000100084,HIRA,chr22,19330693,19447450,-1,3,0,1.1133,180,3,147,2,0.0,120.0,0.0,4,0,68.85400256410256
ENSG00000242259,C22orf39,chr22,19351368,19447711,-1,3,0,1.1133,154,4,129,2,0.0,46.0,0.0,4,0,68.56546734693877
ENSG00000185608,MRPL40,chr22,19432467,19436077,1,1,0,1.0,9,2,7,0,0.0,37.0,0.0,1,0,67.8647
ENSG00000070010,UFD1,chr22,19449911,19479215,-1,0,665,,50,2,40,1,0.0,58.0,0.0,1,0,67.87473
ENSG00000093009,CDC45,chr22,19479457,19520612,1,1,0,0.94,72,2,56,3,0.0,135.0,0.0,1,0,68.43164651162792
ENSG00000184113,CLDN5,chr22,19523024,19527545,-1,1,0,0.89,13,3,10,0,0.0,435.0,0.0,0,0,69.09961666666668
ENSG00000184702,SEPTIN5,chr22,19714467,19724224,1,2,0,0.815,31,5,26,0,0.0,200.0,0.0,0,0,76.20107272727273
ENSG00000284874,,chr22,19717220,19724772,1,1,0,0.67,24,3,21,0,0.0,1.0,0.0,0,0,76.25065555555555
ENSG00000203618,GP1BB,chr22,19723539,19724776,1,1,0,0.67,5,1,4,0,0.0,223.0,0.0,0,0,76.33529999999999
ENSG00000184058,TBX1,chr22,19756703,19783593,1,5,0,0.926,65,2,52,1,0.0,839.0,0.0,0,0,77.16595357142856
ENSG00000185838,GNB1L,chr22,19783223,19854939,-1,2,0,0.875,164,1,144,4,0.0,108.0,0.0,1,0,77.70705205479452
ENSG00000215012,RTL10,chr22,19846138,19854896,-1,1,0,0.88,25,1,24,0,0.0,103.0,0.0,1,0,78.02932999999999
ENSG00000184470,TXNRD2,chr22,19875517,19941820,-1,2,0,0.945,137,7,122,1,0.0,411.0,0.0,4,0,78.64557164179105
ENSG00000093010,COMT,chr22,19941371,19969975,1,1,0,1.2,76,7,65,1,0.0,531.0,0.0,1,0,78.96182666666667
ENSG00000099889,ARVCF,chr22,19969892,20016823,-1,4,0,0.8175,116,3,110,0,0.0,126.0,0.0,1,0,78.81649591836734
ENSG00000183597,TANGO2,chr22,20016615,20067164,1,3,0,0.9467,114,3,99,1,0.0,94.0,0.0,3,0,78.10389215686274
ENSG00000128191,DGCR8,chr22,20080035,20111877,1,2,0,0.9,74,3,68,0,0.0,288.0,0.0,2,0,76.72111212121213
ENSG00000099899,TRMT2A,chr22,20111875,20117392,-1,2,0,0.88,15,3,12,0,0.0,49.0,0.0,1,0,76.11333333333333
ENSG00000099901,RANBP1,chr22,20115877,20127355,1,2,0,0.88,26,3,20,0,0.0,186.0,0.0,1,0,75.85018333333333
ENSG00000099904,ZDHHC8,chr22,20129456,20148007,1,3,0,0.75,39,2,36,0,0.0,52.0,0.0,2,0,75.127265
