gene_id,gene_name,chrom,start,end,strand,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,tcell_h3k27ac_count,tcell_atac_count,replication_timing
ENSG00000268320,SCGB1C2,chr17,137569,139067,1,0,4788,,0,0,0,0,0.0,7.0,0.0,0,0,58.164249999999996
ENSG00000272636,DOC2B,chr17,142789,181691,-1,2,0,1.03,71,1,34,7,0.0,52.0,0.0,0,0,59.44141
ENSG00000181031,RPH3AL,chr17,212389,386376,-1,14,0,0.8664,267,9,224,5,0.0,97.0,0.0,0,0,48.32207428571428
ENSG00000187624,LIAT1,chr17,410325,431062,1,2,0,0.935,40,1,35,0,0.0,452.0,0.0,3,0,52.04780454545455
ENSG00000183688,RFLNB,chr17,439978,445939,-1,2,0,0.765,8,0,8,0,0.0,39.0,0.0,0,0,56.74654285714286
ENSG00000141252,VPS53,chr17,508503,721717,-1,1,0,0.86,238,4,202,5,0.0,78.0,0.0,1,0,62.06314158878505
ENSG00000167695,TLCD3A,chr17,732412,742968,1,1,0,1.03,13,1,8,0,0.0,51.0,0.0,1,0,64.7249
ENSG00000179409,GEMIN4,chr17,744421,753999,-1,1,0,0.92,18,3,13,0,0.0,220.0,0.0,1,0,65.1991090909091
ENSG00000167699,GLOD4,chr17,757097,782341,-1,1,0,0.97,16,1,14,0,0.0,48.0,0.0,1,0,66.01541923076924
ENSG00000171861,MRM3,chr17,782345,792509,1,1,0,0.97,22,2,20,0,0.0,32.0,0.0,1,0,66.69694166666667
ENSG00000167693,NXN,chr17,799310,979776,-1,6,0,0.785,271,2,261,1,0.0,215.0,0.0,0,0,68.11039945054945
ENSG00000177370,TIMM22,chr17,997118,1003671,1,1,0,0.9,15,1,14,0,0.0,45.0,0.0,1,0,68.749
ENSG00000159842,ABR,chr17,1003519,1229738,-1,15,0,0.8467,391,8,365,3,0.0,132.0,0.0,5,0,74.06854889867843
