gene_id,gene_name,chrom,start,end,strand,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,tcell_h3k27ac_count,tcell_atac_count,replication_timing
ENSG00000261456,TUBB8,chr10,46888,74163,-1,0,294,0,2,0,0.825,10,1,2,1,0,0,33.86603928571429
ENSG00000015171,ZMYND11,chr10,130088,254638,1,0,114,0,1,0,1.0,100,4,62,10,1,0,45.658565079365076
ENSG00000151240,DIP2C,chr10,274201,689937,-1,0,139,0,26,0,0.8604,655,8,619,2,7,0,46.0467613908873
ENSG00000107929,LARP4B,chr10,806915,931821,-1,0,206,0,2,0,0.85,132,2,108,2,3,0,66.17349206349206
ENSG00000107937,GTPBP4,chr10,988418,1019932,1,0,233,0,1,0,0.86,29,1,22,0,2,0,74.46284848484848
ENSG00000148377,IDI2,chr10,1018910,1025859,-1,0,46,0,0,22538,,11,2,7,0,0,0,74.84972499999999
ENSG00000067064,IDI1,chr10,1039152,1049119,-1,0,126,0,1,0,1.12,19,1,18,0,2,0,74.71147272727272
ENSG00000047056,WDR37,chr10,1049265,1160991,1,0,88,0,4,0,1.0275,138,5,107,6,4,0,71.13782389380532
ENSG00000185736,ADARB2,chr10,1177313,1737525,-1,0,129,0,16,0,0.7769,640,4,502,32,0,0,50.15775480427047
ENSG00000067057,PFKP,chr10,3066333,3137723,1,0,229,0,4,0,0.9275,133,3,125,1,1,0,61.918641095890415
ENSG00000107959,PITRM1,chr10,3137728,3172841,-1,0,157,0,2,0,0.785,47,1,32,3,1,0,62.09102222222222
ENSG00000067082,KLF6,chr10,3775996,3785281,-1,0,500,0,2,0,0.875,28,2,26,0,2,0,60.84497
ENSG00000165568,AKR1E2,chr10,4786629,4848062,1,0,58,0,1,0,0.89,69,1,42,9,1,0,67.13967741935484
ENSG00000187134,AKR1C1,chr10,4963253,4983283,1,0,204,0,0,136648,,19,1,13,0,1,0,65.83410476190477
ENSG00000151632,AKR1C2,chr10,4987775,5018031,-1,0,180,0,0,161170,,21,3,14,0,0,0,66.45499062500001
ENSG00000196139,AKR1C3,chr10,5035354,5107686,1,0,355,0,0,208749,,66,3,49,0,1,0,69.0086
ENSG00000264006,AKR1C8,chr10,5153920,5185187,-1,0,12,0,0,227281,,11,1,3,0,0,0,67.94443749999999
ENSG00000198610,AKR1C4,chr10,5195462,5220608,1,0,142,0,0,191860,,18,2,11,1,0,0,65.50194444444445
ENSG00000178473,UCN3,chr10,5364966,5374692,1,0,335,0,0,37776,,13,1,10,0,0,0,65.5498090909091
ENSG00000178462,TUBAL3,chr10,5393101,5404828,-1,0,48,0,0,7640,,12,1,9,0,0,0,67.74861538461538
ENSG00000173848,NET1,chr10,5412557,5459056,1,0,116,0,2,0,0.72,61,2,53,3,1,0,70.56452978723405
