gene_id,gene_name,chrom,start,end,strand,cpg_island_count,cpg_nearest_dist,cpg_mean_obs_exp,encode_ccre_count,encode_promoter_count,encode_enhancer_count,encode_ctcf_count,ot_cancer_hallmark_count,ot_disease_count,ot_is_cancer_driver,tcell_h3k27ac_count,tcell_atac_count,replication_timing
ENSG00000178591,DEFB125,chr20,87250,97094,1,0,182054,,2,0,0,0,0,3,0,0,0,64.06310909090908
ENSG00000125788,DEFB126,chr20,142590,145751,1,0,133397,,2,1,0,0,0,11,0,0,0,71.39225
ENSG00000088782,DEFB127,chr20,157454,159163,1,0,119985,,1,0,0,0,0,4,0,0,0,72.93546666666667
ENSG00000185982,DEFB128,chr20,187853,189711,-1,0,89437,,2,0,0,1,0,89,0,0,0,75.56213333333334
ENSG00000125903,DEFB129,chr20,227258,229886,1,0,49262,,1,0,1,0,0,13,0,0,0,77.7222
ENSG00000186458,DEFB132,chr20,257724,261096,1,0,18052,,5,1,4,0,0,11,0,0,0,79.1169
ENSG00000196476,C20orf96,chr20,270863,290778,-1,2,0,0.96,18,2,13,0,0,49,0,1,0,80.0804666666667
ENSG00000247315,ZCCHC3,chr20,297570,300321,1,1,0,1.07,10,2,8,0,0,30,0,1,0,80.90756666666665
ENSG00000177732,SOX12,chr20,325552,330224,1,1,0,0.9,14,1,13,0,0,65,0,1,0,82.11284
ENSG00000125841,NRSN2,chr20,346705,359660,1,1,0,0.65,24,3,18,0,0,82,0,1,0,82.77930714285716
ENSG00000101255,TRIB3,chr20,362835,397564,1,2,0,0.815,73,3,54,0,0,266,0,1,0,82.85546388888889
ENSG00000125826,RBCK1,chr20,407498,432139,1,2,0,0.8,46,2,39,0,0,137,0,2,0,81.98006538461537
ENSG00000125875,TBC1D20,chr20,423596,462566,-1,1,0,0.95,51,1,46,1,0,252,0,2,0,80.9582975
ENSG00000101266,CSNK2A1,chr20,472498,543835,-1,1,0,0.8,90,1,65,0,0,225,0,2,0,77.93277397260273
ENSG00000125878,TCF15,chr20,604257,610309,-1,1,0,1.06,14,1,13,0,0,35,0,0,0,74.2378
ENSG00000271303,SRXN1,chr20,646615,653378,-1,1,0,1.11,14,1,12,0,0,124,0,1,0,72.88231428571429
ENSG00000270299,,chr20,646626,675800,-1,4,0,0.9525,67,2,62,0,0,1,0,1,0,72.60004000000002
ENSG00000215397,SCRT2,chr20,661596,675802,-1,3,0,0.9,38,1,35,0,0,16,0,0,0,72.42252666666666
ENSG00000101276,SLC52A3,chr20,758695,776015,-1,1,0,0.83,21,3,16,0,0,95,0,0,0,72.32871666666666
ENSG00000125898,FAM110A,chr20,833715,857463,1,4,0,0.7775,47,3,42,0,0,39,0,3,0,72.50083333333333
ENSG00000101280,ANGPT4,chr20,869900,916334,-1,1,0,0.84,47,1,39,2,0,103,0,0,0,71.43567234042553
ENSG00000101282,RSPO4,chr20,958452,1002372,-1,1,0,0.94,50,1,26,3,0,66,0,0,0,69.20913777777778
ENSG00000125818,PSMF1,chr20,1113240,1189415,1,3,0,0.92,77,6,43,3,0,61,0,3,0,75.6369896103896
ENSG00000125895,TMEM74B,chr20,1180561,1186842,-1,2,0,0.895,14,5,5,1,0,8,0,0,0,76.91028571428572
ENSG00000215595,C20orf202,chr20,1203454,1209076,1,0,16390,,6,0,5,0,0,3,0,0,0,77.15505714285713
